"","id","first_name","second_name","web_name","team","element_type","photo","team_name","short_team_name","strength","strength_overall_home","strength_overall_away","strength_attack_home","strength_attack_away","strength_defence_home","strength_defence_away"
"48",42,"Lucas","Digne","Digne",2,2,"101188.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"49",43,"Douglas Luiz","Soares de Paulo","Douglas Luiz",2,3,"230046.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"50",44,"Jhon","Durán","Duran",2,4,"476344.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"51",45,"Kortney","Hause","Hause",2,2,"123354.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"52",46,"Tim","Iroegbunam","Iroegbunam",2,3,"490094.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"53",47,"Boubacar","Kamara","Kamara",2,3,"226944.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"54",48,"Ezri","Konsa Ngoyo","Konsa",2,2,"199798.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"55",49,"Emiliano","Martínez Romero","Martinez",2,1,"98980.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"56",50,"John","McGinn","McGinn",2,3,"122806.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"57",51,"Tyrone","Mings","Mings",2,2,"149484.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"58",53,"Robin","Olsen","Olsen",2,1,"111782.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"59",54,"Jaden","Philogene-Bidace","Philogene",2,3,"481624.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"60",55,"Jacob","Ramsey","J.Ramsey",2,3,"232653.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"61",56,"Morgan","Sanson","Sanson",2,3,"122775.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"62",57,"Viljami","Sinisalo","Sinisalo",2,1,"248164.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"63",58,"Youri","Tielemans","Tielemans",2,3,"166989.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"64",59,"Bertrand","Traoré","Bertrand Traoré",2,3,"110504.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
"65",60,"Ollie","Watkins","Watkins",2,4,"178301.jpg","Aston Villa","AVL",4,1160,1285,1140,1220,1180,1350
