"","website_short_name","team_name","position","price","total_points","gameweek","minutes_played","goals_scored","assists","clean_sheets","goals_conceded","own_goals","penalties_saved","penalties_missed","yellow_cards","red_cards","saves","bonus_points_allocated","bps","influence","creativity","threat","ict_index","clearances_blocks_interceptions","recoveries","tackles","defensive_contribution","expected_goals","expected_assists","expected_goal_involvements","expected_goals_conceded","transfers_balance","selected","transfers_in","transfers_out","first_name","second_name","team_strength","total_xg_conceded","opposition_team","opposition_fixture_difficulty","team_elo","opposition_elo","team_attack_elo","opposition_attack_elo","team_defence_elo","opposition_defence_elo","was_home"
"21","Raya","Arsenal","GK","£6",6,21,90,0,0,1,0,0,0,0,0,0,0,0,19,4.4,0,0,0.4,1,4,0,0,0,0,0,0.36,-177932,4289085,27025,204957,"David","Raya Martín",5,0.36,"Liverpool",4,1300,1265,1340,1210,1260,1320,TRUE
"22","Raya","Arsenal","GK","£5.9",6,22,90,0,0,1,0,0,0,0,0,0,0,0,23,6.2,0,0,0.6,2,7,1,0,0,0,0,0.34,-12759,4309674,87850,100609,"David","Raya Martín",5,0.34,"Nott'm Forest",3,1375,1100,1400,1100,1350,1100,FALSE
"23","Raya","Arsenal","GK","£5.9",1,23,90,0,0,0,3,0,0,0,0,0,0,0,-3,4.8,0,0,0.5,1,10,0,0,0,0.01,0.01,0.71,-42730,4268252,36057,78787,"David","Raya Martín",5,0.71,"Man Utd",3,1300,1205,1340,1150,1260,1260,TRUE
"24","Arrizabalaga","Arsenal","GK","£4.5",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90618,0,0,"Kepa","Arrizabalaga Revuelta",5,1.52,"Man Utd",3,1375,1135,1400,1100,1350,1170,FALSE
"25","Arrizabalaga","Arsenal","GK","£4.5",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9834,89793,2130,11964,"Kepa","Arrizabalaga Revuelta",5,0.17,"Leeds",3,1300,1145,1340,1100,1260,1190,TRUE
"26","Arrizabalaga","Arsenal","GK","£4.4",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11575,81016,1131,12706,"Kepa","Arrizabalaga Revuelta",5,0.52,"Liverpool",4,1375,1230,1400,1170,1350,1290,FALSE
"27","Arrizabalaga","Arsenal","GK","£4.4",0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6913,76258,1271,8184,"Kepa","Arrizabalaga Revuelta",5,0.2,"Nott'm Forest",3,1300,1130,1340,1110,1260,1150,TRUE
"28","Arrizabalaga","Arsenal","GK","£4.4",0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5570,71572,689,6259,"Kepa","Arrizabalaga Revuelta",5,0.89,"Man City",4,1300,1305,1340,1230,1260,1380,TRUE
"29","Arrizabalaga","Arsenal","GK","£4.3",0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4229,67990,713,4942,"Kepa","Arrizabalaga Revuelta",5,0.61,"Newcastle",3,1375,1160,1400,1170,1350,1150,FALSE
"30","Arrizabalaga","Arsenal","GK","£4.3",0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3442,64932,461,3903,"Kepa","Arrizabalaga Revuelta",5,0.49,"West Ham",3,1300,1075,1340,1050,1260,1100,TRUE
"31","Arrizabalaga","Arsenal","GK","£4.3",0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3767,61782,442,4209,"Kepa","Arrizabalaga Revuelta",5,0.44,"Fulham",3,1375,1090,1400,1080,1350,1100,FALSE
"32","Arrizabalaga","Arsenal","GK","£4.3",0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2402,59724,221,2623,"Kepa","Arrizabalaga Revuelta",5,0.47,"Crystal Palace",3,1300,1205,1340,1150,1260,1260,TRUE
"33","Arrizabalaga","Arsenal","GK","£4.2",0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2150,57825,423,2573,"Kepa","Arrizabalaga Revuelta",5,0.42,"Burnley",3,1375,1055,1400,1010,1350,1100,FALSE
"34","Arrizabalaga","Arsenal","GK","£4.2",0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2012,56075,386,2398,"Kepa","Arrizabalaga Revuelta",5,0.44,"Sunderland",3,1375,1100,1400,1100,1350,1100,FALSE
"35","Arrizabalaga","Arsenal","GK","£4.2",0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1215,55291,404,1619,"Kepa","Arrizabalaga Revuelta",5,0.07,"Spurs",3,1300,1175,1340,1150,1260,1200,TRUE
"36","Arrizabalaga","Arsenal","GK","£4.2",0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1178,54420,238,1416,"Kepa","Arrizabalaga Revuelta",5,0.79,"Chelsea",3,1375,1180,1400,1140,1350,1220,FALSE
"37","Arrizabalaga","Arsenal","GK","£4.2",0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-668,53843,244,912,"Kepa","Arrizabalaga Revuelta",5,0.35,"Brentford",3,1300,1175,1340,1110,1260,1240,TRUE
"38","Arrizabalaga","Arsenal","GK","£4.2",0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-794,53294,378,1172,"Kepa","Arrizabalaga Revuelta",5,2.16,"Aston Villa",3,1375,1145,1400,1150,1350,1140,FALSE
"39","Arrizabalaga","Arsenal","GK","£4.1",0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1491,51955,811,2302,"Kepa","Arrizabalaga Revuelta",5,0.38,"Wolves",3,1300,1085,1340,1050,1260,1120,TRUE
"40","Arrizabalaga","Arsenal","GK","£4.1",0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-499,51812,666,1165,"Kepa","Arrizabalaga Revuelta",5,0.2,"Everton",3,1375,1100,1400,1110,1350,1090,FALSE
"41","Arrizabalaga","Arsenal","GK","£4.1",0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-510,51553,573,1083,"Kepa","Arrizabalaga Revuelta",5,0.85,"Brighton",3,1300,1160,1340,1110,1260,1210,TRUE
"42","Arrizabalaga","Arsenal","GK","£4.1",0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-382,51712,380,762,"Kepa","Arrizabalaga Revuelta",5,2.67,"Aston Villa",3,1300,1185,1340,1170,1260,1200,TRUE
"43","Arrizabalaga","Arsenal","GK","£4.1",0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-273,51046,315,588,"Kepa","Arrizabalaga Revuelta",5,1.43,"Bournemouth",3,1375,1150,1400,1100,1350,1200,FALSE
"44","Arrizabalaga","Arsenal","GK","£4.1",0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-455,50726,283,738,"Kepa","Arrizabalaga Revuelta",5,0.36,"Liverpool",4,1300,1265,1340,1210,1260,1320,TRUE
"45","Arrizabalaga","Arsenal","GK","£4.1",0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-598,50287,390,988,"Kepa","Arrizabalaga Revuelta",5,0.34,"Nott'm Forest",3,1375,1100,1400,1100,1350,1100,FALSE
